Rk,Player,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,Lng,Y/Tgt,R/G,Y/G,Fmb,id
50,Larry Fitzgerald,31,WR,14,13,103,63,61.2%,784,12.4,2,80,7.6,4.5,56.0,1,FitzLa00
51,Andrew Hawkins,28,WR,15,15,112,63,56.3%,824,13.1,2,65,7.4,4.2,54.9,0,HawkAn00
52,Kenny Stills,22,WR,15,7,83,63,75.9%,931,14.8,3,69,11.2,4.2,62.1,1,StilKe00
53,Delanie Walker,30,TE,15,14,106,63,59.4%,890,14.1,4,68,8.4,4.2,59.3,2,WalkHu00
54,Jermaine Gresham,26,TE,15,15,79,62,78.5%,460,7.4,5,23,5.8,4.1,30.7,3,GresJe00
55,Eddie Royal,28,WR,16,11,91,62,68.1%,778,12.5,7,47,8.5,3.9,48.6,1,RoyaEd00
56,Brandon Marshall,30,WR,13,13,106,61,57.5%,721,11.8,8,47,6.8,4.7,55.5,1,MarsBr00
57,Dwayne Bowe,30,WR,15,15,95,60,63.2%,754,12.6,0,37,7.9,4.0,50.3,2,BoweDw00
58,Marques Colston,31,WR,16,13,100,59,59.0%,902,15.3,5,57,9.0,3.7,56.4,1,ColsMa00
59,Greg Jennings,31,WR,16,13,92,59,64.1%,742,12.6,6,38,8.1,3.7,46.4,1,JennGr00
60,Charles Clay,25,TE,14,14,84,58,69.0%,605,10.4,3,41,7.2,4.1,43.2,0,ClayCh00
61,Zach Ertz,24,TE,16,5,89,58,65.2%,702,12.1,3,35,7.9,3.6,43.9,1,ErtzZa00
62,Mychal Rivera,24,TE,16,10,99,58,58.6%,534,9.2,4,33,5.4,3.6,33.4,3,RiveMy00
63,DeMarco Murray*+,26,RB,16,16,64,57,89.1%,416,7.3,0,34,6.5,3.6,26.0,5,MurrDe00
64,Kendall Wright,25,WR,14,11,93,57,61.3%,715,12.5,6,48,7.7,4.1,51.1,1,WrigKe01
65,DeSean Jackson,28,WR,15,13,95,56,58.9%,1169,20.9,6,81,12.3,3.7,77.9,0,JackDe00
66,Mohamed Sanu,25,WR,16,13,98,56,57.1%,790,14.1,5,76,8.1,3.5,49.4,0,SanuMo00
67,Riley Cooper,27,WR,16,16,95,55,57.9%,577,10.5,3,50,6.1,3.4,36.1,1,CoopRi00
68,Brandin Cooks,21,WR,10,7,69,53,76.8%,550,10.4,3,50,8.0,5.3,55.0,1,CookBr00
69,Cecil Shorts,27,WR,13,12,110,53,48.2%,557,10.5,1,53,5.1,4.1,42.8,1,ShorCe00
70,Markus Wheaton,23,WR,16,11,86,53,61.6%,644,12.2,2,47,7.5,3.3,40.3,0,WheaMa00
71,Jared Cook,27,TE,16,6,99,52,52.5%,634,12.2,3,59,6.4,3.3,39.6,0,CookJa02
72,Malcom Floyd,33,WR,16,16,92,52,56.5%,856,16.5,6,59,9.3,3.3,53.5,0,FloyMa00
73,Shane Vereen,25,RB,16,6,77,52,67.5%,447,8.6,3,49,5.8,3.3,27.9,0,VereSh00
74,Harry Douglas,30,WR,12,6,74,51,68.9%,556,10.9,2,41,7.5,4.3,46.3,0,DougHa00
75,Coby Fleener,26,TE,16,12,92,51,55.4%,774,15.2,8,73,8.4,3.2,48.4,0,FleeCo00
76,Percy Harvin,26,WR,13,12,78,51,65.4%,483,9.5,1,45,6.2,3.9,37.2,3,HarvPe00
77,Allen Hurns,23,WR,16,8,97,51,52.6%,677,13.3,6,63,7.0,3.2,42.3,0,HurnAl01
78,Jordan Reed,24,TE,11,2,65,50,76.9%,465,9.3,0,30,7.2,4.5,42.3,1,ReedJo02
79,Torrey Smith,25,WR,16,16,92,49,53.3%,767,15.7,11,53,8.3,3.1,47.9,0,SmitTo02
80,Wes Welker,33,WR,14,8,64,49,76.6%,464,9.5,2,39,7.3,3.5,33.1,0,WelkWe00
81,Kenny Britt,26,WR,16,13,84,48,57.1%,748,15.6,3,63,8.9,3.0,46.8,0,BritKe00
82,John Brown,24,WR,16,5,102,48,47.1%,696,14.5,5,75,6.8,3.0,43.5,0,BrowJo02
83,Jerricho Cotchery,32,WR,15,13,78,48,61.5%,580,12.1,1,47,7.4,3.2,38.7,0,CotcJe00
84,Owen Daniels,32,TE,15,13,79,48,60.8%,527,11.0,4,39,6.7,3.2,35.1,0,DaniOw00
85,Allen Robinson,21,WR,10,8,81,48,59.3%,548,11.4,2,54,6.8,4.8,54.8,0,RobiAl02
86,Miles Austin,30,WR,12,11,73,47,64.4%,568,12.1,2,31,7.8,3.9,47.3,0,AustMi00
87,Scott Chandler,29,TE,16,5,70,47,67.1%,497,10.6,3,37,7.1,2.9,31.1,0,ChanSc00
88,Michael Floyd,25,WR,16,14,99,47,47.5%,841,17.9,6,63,8.5,2.9,52.6,3,FloyMi00
89,Andre Holmes,26,WR,16,13,99,47,47.5%,693,14.7,4,77,7.0,2.9,43.3,0,HolmAn00
90,Andre Ellington,25,RB,12,12,64,46,71.9%,395,8.6,2,81,6.2,3.8,32.9,2,ElliAn00
91,Benny Cunningham,24,RB,16,2,52,45,86.5%,352,7.8,1,19,6.8,2.8,22.0,2,CunnBe01
92,Pierre Thomas,30,RB,11,3,55,45,81.8%,378,8.4,1,39,6.9,4.1,34.4,0,ThomPi00
93,Matt Asiata,27,RB,15,9,63,44,69.8%,312,7.1,1,41,5.0,2.9,20.8,1,AsiaMa00
94,Justin Forsett*,29,RB,16,14,59,44,74.6%,263,6.0,0,26,4.5,2.8,16.4,1,ForsJu00
95,Giovani Bernard,23,RB,13,9,59,43,72.9%,349,8.1,2,46,5.9,3.3,26.8,0,BernGi00
96,Julius Thomas*,26,TE,13,10,62,43,69.4%,489,11.4,12,35,7.9,3.3,37.6,1,ThomJu00
97,Roy Helu,26,RB,14,0,47,42,89.4%,477,11.4,2,55,10.1,3.0,34.1,2,HeluRo00
98,Eddie Lacy,24,RB,16,16,55,42,76.4%,427,10.2,4,67,7.8,2.6,26.7,3,LacyEd00
99,Jarius Wright,25,WR,16,7,62,42,67.7%,588,14.0,2,87,9.5,2.6,36.8,0,WrigJa02
100,Chris Hogan,27,WR,16,2,61,41,67.2%,426,10.4,4,31,7.0,2.6,26.6,2,HogaCh00
101,Reggie Bush,29,RB,11,9,56,40,71.4%,253,6.3,0,28,4.5,3.6,23.0,0,BushRe00
102,Jamaal Charles*,28,RB,15,15,59,40,67.8%,291,7.3,5,30,4.9,2.7,19.4,5,CharJa00
103,Darren Sproles*,31,RB,15,0,62,40,64.5%,387,9.7,0,57,6.2,2.7,25.8,4,SproDa00
104,Nate Washington,31,WR,16,11,72,40,55.6%,647,16.2,2,80,9.0,2.5,40.4,0,WashNa00
105,Brian Hartline,28,WR,16,16,63,39,61.9%,474,12.2,2,35,7.5,2.4,29.6,1,HartBr00
106,Niles Paul,25,TE,16,7,52,39,75.0%,507,13.0,1,50,9.8,2.4,31.7,1,PaulNi00
107,Davante Adams,22,WR,16,11,66,38,57.6%,446,11.7,3,45,6.8,2.4,27.9,0,AdamDa01
108,Jace Amaro,22,TE,14,4,53,38,71.7%,345,9.1,2,43,6.5,2.7,24.6,1,AmarJa00
109,Ahmad Bradshaw,28,RB,10,1,47,38,80.9%,300,7.9,6,22,6.4,3.8,30.0,3,BradAh00
110,Travaris Cadet,25,RB,15,1,51,38,74.5%,296,7.8,1,31,5.8,2.5,19.7,2,CadeTr00
111,Arian Foster*,28,RB,13,13,59,38,64.4%,327,8.6,5,56,5.5,2.9,25.2,2,FostAr00
112,Devin Hester*,32,DB,16,1,59,38,64.4%,504,13.3,2,46,8.5,2.4,31.5,2,HestDe99
113,Jermaine Kearse,24,WR,15,14,69,38,55.1%,537,14.1,1,60,7.8,2.5,35.8,0,KearJe01
114,Jeremy Kerley,26,WR,16,7,75,38,50.7%,409,10.8,1,33,5.5,2.4,25.6,1,KerlJe00
115,Lamar Miller,23,RB,16,16,52,38,73.1%,275,7.2,1,20,5.3,2.4,17.2,3,MillLa01
116,Hakeem Nicks,26,WR,16,6,68,38,55.9%,405,10.7,4,29,6.0,2.4,25.3,0,NickHa01
117,Cole Beasley,25,WR,16,2,49,37,75.5%,420,11.4,4,45,8.6,2.3,26.3,2,BeasCo00
118,Marqise Lee,23,WR,13,8,69,37,53.6%,422,11.4,1,37,6.1,2.8,32.5,0,LeexMa00
119,Marshawn Lynch*,28,RB,16,14,48,37,77.1%,367,9.9,4,39,7.6,2.3,22.9,3,LyncMa00
120,Marcel Reece*,29,RB,15,15,59,37,62.7%,265,7.2,1,19,4.5,2.5,17.7,1,ReecMa00
121,Terrance Williams,25,WR,16,16,66,37,56.1%,621,16.8,8,51,9.4,2.3,38.8,0,WillTe01
122,Taylor Gabriel,23,WR,16,2,72,36,50.0%,621,17.3,1,70,8.6,2.3,38.8,0,GabrTa00
123,Darren McFadden,27,RB,16,12,56,36,64.3%,212,5.9,0,23,3.8,2.3,13.3,1,McFaDa00
124,Branden Oliver,23,RB,14,7,45,36,80.0%,271,7.5,1,50,6.0,2.6,19.4,0,OlivBr01
125,Preston Parker,27,WR,16,7,56,36,64.3%,418,11.6,2,42,7.5,2.3,26.1,2,ParkPr00
126,Andre Roberts,26,WR,16,4,73,36,49.3%,453,12.6,2,61,6.2,2.3,28.3,4,RobeAn00
127,Steve Johnson,28,WR,13,1,50,35,70.0%,435,12.4,3,32,8.7,2.7,33.5,0,JohnSt00
128,C.J. Anderson*,23,RB,15,7,44,34,77.3%,324,9.5,2,51,7.4,2.3,21.6,1,AndeC.00
129,Jason Avant,31,WR,16,0,62,34,54.8%,353,10.4,1,41,5.7,2.1,22.1,0,AvanJa00
130,Joique Bell,28,RB,15,6,53,34,64.2%,322,9.5,1,28,6.1,2.3,21.5,5,BellJo01
131,Theo Riddick,23,RB,14,2,50,34,68.0%,316,9.3,4,41,6.3,2.4,22.6,0,RiddTh00
132,John Carlson,30,RB,16,12,55,33,60.0%,350,10.6,1,32,6.4,2.1,21.9,0,CarlJo00
133,Cordarrelle Patterson,23,WR,16,7,67,33,49.3%,384,11.6,1,28,5.7,2.1,24.0,1,PattCo00
134,Bobby Rainey,27,RB,15,5,45,33,73.3%,315,9.5,1,34,7.0,2.2,21.0,3,RainBo00
135,Brent Celek,29,TE,16,15,51,32,62.7%,340,10.6,1,37,6.7,2.0,21.3,1,CeleBr00
136,Donte Moncrief,21,WR,16,2,49,32,65.3%,444,13.9,3,79,9.1,2.0,27.8,0,MoncDo00
137,Tavon Austin,24,WR,15,8,44,31,70.5%,242,7.8,0,28,5.5,2.1,16.1,5,AustTa00
138,Charles Johnson,25,WR,12,6,59,31,52.5%,475,15.3,2,56,8.1,2.6,39.6,1,JohnCh08
139,Damaris Johnson,25,WR,16,8,49,31,63.3%,331,10.7,1,44,6.8,1.9,20.7,2,JohnDa04
140,Louis Murphy,27,WR,11,3,56,31,55.4%,380,12.3,2,54,6.8,2.8,34.5,1,MurpLo00
141,Levine Toilolo,23,TE,16,16,54,31,57.4%,238,7.7,2,20,4.4,1.9,14.9,1,ToilLe00
142,Stedman Bailey,24,WR,14,3,46,30,65.2%,435,14.5,1,38,9.5,2.1,31.1,0,BailSt01
143,Devonta Freeman,22,RB,16,0,37,30,81.1%,225,7.5,1,36,6.1,1.9,14.1,1,FreeDe00
144,Rashad Jennings,29,RB,11,9,41,30,73.2%,226,7.5,0,27,5.5,2.7,20.5,1,JennRa00
145,Dwayne Allen,24,TE,13,13,50,29,58.0%,395,13.6,8,41,7.9,2.2,30.4,1,AlleDw00
146,Donald Brown,27,RB,13,3,41,29,70.7%,211,7.3,0,24,5.1,2.2,16.2,1,BrowDo00
147,Brandon Gibson,27,WR,14,5,51,29,56.9%,295,10.2,1,40,5.8,2.1,21.1,2,GibsBr00
148,Mark Ingram*,25,RB,13,9,36,29,80.6%,145,5.0,0,14,4.0,2.2,11.2,3,IngrMa01
149,Andrew Quarless,26,TE,16,11,46,29,63.0%,323,11.1,3,34,7.0,1.8,20.2,0,QuarAn00
150,Paul Richardson,22,WR,15,6,44,29,65.9%,271,9.3,1,32,6.2,1.9,18.1,1,RichPa01
151,Jacquizz Rodgers,24,RB,16,1,40,29,72.5%,173,6.0,1,14,4.3,1.8,10.8,1,RodgJa00
152,Justin Hunter,23,WR,12,8,67,28,41.8%,498,17.8,3,75,7.4,2.3,41.5,0,HuntJu00
153,LeSean McCoy*,26,RB,16,16,37,28,75.7%,155,5.5,0,18,4.2,1.8,9.7,4,McCoLe01
154,Danny Amendola,29,WR,16,4,42,27,64.3%,200,7.4,1,21,4.8,1.7,12.5,0,AmenDa00
155,Jeremy Hill,22,RB,16,8,32,27,84.4%,215,8.0,0,38,6.7,1.7,13.4,5,HillJe01
156,Lance Kendricks,26,TE,16,14,38,27,71.1%,259,9.6,5,23,6.8,1.7,16.2,0,KendLa00
157,Jerick McKinnon,22,RB,11,6,41,27,65.9%,135,5.0,0,17,3.3,2.5,12.3,0,McKiJe00
158,Trent Richardson,24,RB,15,12,34,27,79.4%,229,8.5,0,24,6.7,1.8,15.3,2,RichTr00
159,Martavis Bryant,23,WR,10,3,48,26,54.2%,549,21.1,8,94,11.4,2.6,54.9,0,BryaMa00
160,Vernon Davis,30,TE,14,14,50,26,52.0%,245,9.4,2,29,4.9,1.9,17.5,0,DaviVe00
161,Clay Harbor,27,TE,13,8,35,26,74.3%,289,11.1,1,59,8.3,2.0,22.2,0,HarbCl00
162,Dexter McCluster,25,WR,14,2,36,26,72.2%,197,7.6,1,25,5.5,1.9,14.1,1,McClDe00
163,Tim Wright,24,TE,16,2,33,26,78.8%,259,10.0,6,30,7.8,1.6,16.2,0,WrigTi01
164,Eric Ebron,21,TE,13,7,47,25,53.2%,248,9.9,1,22,5.3,1.9,19.1,0,EbroEr00
165,Anthony Fasano,30,TE,15,13,36,25,69.4%,226,9.0,4,22,6.3,1.7,15.1,0,FasaAn00
166,Brian Quick,25,WR,7,7,39,25,64.1%,375,15.0,3,51,9.6,3.6,53.6,0,QuicBr00
167,Jonathan Stewart,27,RB,13,8,31,25,80.6%,181,7.2,1,22,5.8,1.9,13.9,2,StewJo00
168,Jordan Todman,24,RB,16,1,37,25,67.6%,198,7.9,1,26,5.4,1.6,12.4,0,TodmJo00
169,Kamar Aiken,25,WR,16,0,32,24,75.0%,267,11.1,3,24,8.3,1.5,16.7,0,AikeKa00
170,Marlon Brown,23,WR,14,1,31,24,77.4%,255,10.6,0,22,8.2,1.7,18.2,0,BrowMa00
171,Jordan Cameron,26,TE,10,9,48,24,50.0%,424,17.7,2,81,8.8,2.4,42.4,0,CameJo00
172,Josh Gordon,23,WR,5,5,47,24,51.1%,303,12.6,0,32,6.4,4.8,60.6,0,GordJo02
173,Chris Johnson,29,RB,16,6,34,24,70.6%,151,6.3,1,26,4.4,1.5,9.4,1,JohnCh04
174,Jeremy Ross,26,WR,16,13,35,24,68.6%,314,13.1,1,59,9.0,1.5,19.6,4,RossJe01
175,Kyle Rudolph,25,TE,9,8,34,24,70.6%,231,9.6,2,23,6.8,2.7,25.7,1,RudoKy00
176,Dion Sims,23,TE,14,2,36,24,66.7%,284,11.8,2,38,7.9,1.7,20.3,0,SimsDi00
177,Victor Cruz,28,WR,6,6,41,23,56.1%,337,14.7,1,61,8.2,3.8,56.2,0,CruzVi00
178,Jeff Cumberland,27,TE,16,14,47,23,48.9%,247,10.7,3,28,5.3,1.4,15.4,0,CumbJe00
179,Chase Ford,24,TE,11,5,35,23,65.7%,258,11.2,1,22,7.4,2.1,23.5,0,FordCh00
180,Denard Robinson,24,RB,13,9,31,23,74.2%,124,5.4,0,19,4.0,1.8,9.5,2,RobiDe00
181,De'Anthony Thomas,21,RB,12,3,31,23,74.2%,156,6.8,0,30,5.0,1.9,13.0,0,ThomDe05
182,Jaron Brown,24,WR,16,2,32,22,68.8%,229,10.4,2,26,7.2,1.4,14.3,1,BrowJa03
183,Brandon Myers,29,TE,14,6,32,22,68.8%,190,8.6,0,26,5.9,1.6,13.6,0,MyerBr00
184,Leon Washington,32,RB,16,0,31,22,71.0%,159,7.2,2,25,5.1,1.4,9.9,3,WashLe00
185,Luke Willson,24,TE,15,10,40,22,55.0%,362,16.5,3,80,9.1,1.5,24.1,0,WillLu00
186,Corey Brown,23,WR,13,3,36,21,58.3%,296,14.1,2,47,8.2,1.6,22.8,3,BrowPh00
187,Brice Butler,24,WR,15,0,35,21,60.0%,280,13.3,2,55,8.0,1.4,18.7,0,ButlBr00
188,Dan Herron,25,RB,16,3,26,21,80.8%,173,8.2,0,26,6.7,1.3,10.8,2,HerrDa00
189,Ronnie Hillman,23,RB,8,4,34,21,61.8%,139,6.6,1,16,4.1,2.6,17.4,1,HillRo00
190,Austin Seferian-Jenkins,22,TE,9,9,38,21,55.3%,221,10.5,2,30,5.8,2.3,24.6,1,SefeAu00
191,Kenbrell Thompkins,26,WR,14,7,48,21,43.8%,262,12.5,0,50,5.5,1.5,18.7,0,ThomKe02
192,Damien Williams,22,RB,16,0,27,21,77.8%,187,8.9,1,32,6.9,1.3,11.7,0,WillDa05
193,Toby Gerhart,27,RB,14,7,24,20,83.3%,186,9.3,0,26,7.8,1.4,13.3,1,GerhTo00
194,Steven Jackson,31,RB,15,15,27,20,74.1%,148,7.4,0,17,5.5,1.3,9.9,0,JackSt00
195,Richard Rodgers,22,TE,16,5,30,20,66.7%,225,11.3,2,43,7.5,1.3,14.1,0,RodgRi00
196,Ben Watson,34,TE,16,8,31,20,64.5%,136,6.8,2,15,4.4,1.3,8.5,0,WatsBe00
197,Rhett Ellison,26,TE,16,13,26,19,73.1%,208,10.9,1,40,8.0,1.2,13.0,0,ElliRh00
198,Ladarius Green,24,TE,14,4,25,19,76.0%,226,11.9,0,28,9.0,1.4,16.1,0,GreeLa00
199,Derek Hagan,30,WR,16,3,34,19,55.9%,254,13.4,1,38,7.5,1.2,15.9,0,HagaDe00
200,Kyle Juszczyk,23,RB,16,14,27,19,70.4%,182,9.6,1,33,6.7,1.2,11.4,2,JuszKy00
201,Charles Sims,24,RB,8,0,27,19,70.4%,190,10.0,0,24,7.0,2.4,23.8,2,SimsCh00
202,C.J. Spiller,27,RB,9,5,22,19,86.4%,125,6.6,1,25,5.7,2.1,13.9,3,SpilC.00
203,Travis Benjamin,25,WR,16,0,46,18,39.1%,314,17.4,3,43,6.8,1.1,19.6,2,BenjTr00
204,Jack Doyle,24,TE,16,1,22,18,81.8%,118,6.6,2,20,5.4,1.1,7.4,0,DoylJa00
205,Lance Dunbar,24,RB,16,0,22,18,81.8%,217,12.1,0,40,9.9,1.1,13.6,0,DunbLa00
206,Garrett Graham,28,TE,11,9,28,18,64.3%,197,10.9,1,26,7.0,1.6,17.9,0,GrahGa00
207,Chris Ivory,26,RB,16,10,27,18,66.7%,123,6.8,1,23,4.6,1.1,7.7,2,IvorCh00
208,Marcedes Lewis,30,TE,8,8,31,18,58.1%,206,11.4,2,63,6.6,2.3,25.8,0,LewiMa00
209,Bruce Miller,27,RB,16,8,25,18,72.0%,189,10.5,2,22,7.6,1.1,11.8,1,MillBr02
210,Bishop Sankey,22,RB,16,9,23,18,78.3%,133,7.4,0,18,5.8,1.1,8.3,2,SankBi00
211,Zac Stacy,23,RB,13,5,23,18,78.3%,152,8.4,0,17,6.6,1.4,11.7,2,StacZa00
212,James Starks,28,RB,16,0,29,18,62.1%,140,7.8,0,28,4.8,1.1,8.8,1,StarJa00
213,Andre Williams,22,RB,16,7,37,18,48.6%,130,7.2,0,24,3.5,1.1,8.1,1,WillAn00
214,Jim Dray,28,TE,16,8,27,17,63.0%,242,14.2,1,31,9.0,1.1,15.1,0,DrayJi00
215,Alfred Morris*,26,RB,16,16,26,17,65.4%,155,9.1,0,26,6.0,1.1,9.7,2,MorrAl00
216,Latavius Murray,24,RB,15,3,23,17,73.9%,143,8.4,0,46,6.2,1.1,9.5,1,MurrLa00
217,Brandon Tate,27,WR,16,4,26,17,65.4%,193,11.4,1,50,7.4,1.1,12.1,2,TateBr00
218,Nick Toon,26,WR,8,2,23,17,73.9%,215,12.6,1,24,9.3,2.1,26.9,1,ToonNi00
219,Marquess Wilson,22,WR,7,6,32,17,53.1%,140,8.2,1,17,4.4,2.4,20.0,0,WilsMa02
220,Bryce Brown,23,RB,7,2,25,16,64.0%,176,11.0,0,40,7.0,2.3,25.1,1,BrowBr02
221,Knile Davis,23,RB,16,1,25,16,64.0%,147,9.2,1,70,5.9,1.0,9.2,4,DaviKn00
222,Daniel Fells,31,TE,16,9,20,16,80.0%,188,11.8,4,27,9.4,1.0,11.8,1,FellDa00
223,Tre Mason,21,RB,12,9,26,16,61.5%,148,9.3,1,35,5.7,1.3,12.3,2,MasoTr00
224,Dennis Pitta,29,TE,3,3,21,16,76.2%,125,7.8,0,24,6.0,5.3,41.7,0,PittDe00
225,Dante Rosario,30,TE,16,3,22,16,72.7%,116,7.3,0,22,5.3,1.0,7.3,1,RosaDa00
226,Robert Turbin,25,RB,16,3,20,16,80.0%,186,11.6,2,34,9.3,1.0,11.6,1,TurbRo00
227,Albert Wilson,22,WR,12,2,28,16,57.1%,260,16.3,0,48,9.3,1.3,21.7,0,WilsAl02
228,Donnie Avery,30,WR,6,3,26,15,57.7%,176,11.7,0,27,6.8,2.5,29.3,1,AverDo00
229,Alfred Blue,23,RB,16,3,18,15,83.3%,113,7.5,1,22,6.3,0.9,7.1,0,BlueAl00
230,Corey Fuller,24,WR,16,2,31,14,45.2%,212,15.1,1,52,6.8,0.9,13.3,1,FullCo00
231,Ted Ginn Jr.,29,WR,16,0,26,14,53.8%,190,13.6,0,27,7.3,0.9,11.9,2,GinnTe00
232,Josh Hill,24,TE,16,3,20,14,70.0%,176,12.6,5,37,8.8,0.9,11.0,0,HillJo02
233,Brandon Lloyd,33,WR,14,3,35,14,40.0%,294,21.0,1,80,8.4,1.0,21.0,0,LloyBr00
